Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Fix_Fade_Long,Outcome,Entry,SL,TP,Fix_Fade_Short
2008-01-24 18:00:00,25.0,1.9734,Yes,Short,,Loss,1.9734,0,0,1.0
2008-02-07 18:00:00,0.0,1.9421,Yes,Long,1.0,Win,1.9421,0,0,
2008-02-12 18:00:00,50.0,1.9623,Yes,Short,,Win,1.9623,0,0,1.0
2008-02-21 18:00:00,25.0,1.9614,Yes,Short,,Loss,1.9614,0,0,1.0
2008-03-06 18:00:00,54.4,2.0073,Yes,Short,,Loss,2.0073,0,0,1.0
2008-03-12 18:00:00,33.0,2.0213,Yes,Short,,Loss,2.0213,0,0,1.0
2008-03-17 18:00:00,57.5,2.001,Yes,Long,1.0,Loss,2.001,0,0,
2008-03-18 18:00:00,14.0,2.0217,Yes,Short,,Win,2.0217,0,0,1.0
2008-03-19 18:00:00,52.0,1.9859,Yes,Long,1.0,Loss,1.9859,0,0,
2008-04-08 18:00:00,50.0,1.9683,Yes,Long,1.0,Win,1.9683,0,0,
2008-04-14 18:00:00,0.0,1.9839,Yes,Short,,Win,1.9839,0,0,1.0
2008-04-16 18:00:00,25.0,1.9759,Yes,Short,,Win,1.9759,0,0,1.0
2008-04-17 18:00:00,0.0,1.9857,Yes,Short,,Loss,1.9857,0,0,1.0
2008-04-21 18:00:00,35.2,1.9809,Yes,Long,1.0,Loss,1.9809,0,0,
2008-04-23 18:00:00,20.1,1.9806,Yes,Long,1.0,Win,1.9806,0,0,
2008-04-29 18:00:00,53.1,1.9716,Yes,Long,1.0,Loss,1.9716,0,0,
2008-05-07 18:00:00,25.0,1.9515,Yes,Long,1.0,Win,1.9515,0,0,
2008-05-20 18:00:00,50.0,1.9687,Yes,Short,,Win,1.9687,0,0,1.0
2008-06-02 18:00:00,64.9,1.9639,Yes,Long,1.0,Win,1.9639,0,0,
2008-06-10 18:00:00,50.0,1.953,Yes,Long,1.0,Win,1.953,0,0,
2008-06-12 18:00:00,0.0,1.946,Yes,Long,1.0,Win,1.946,0,0,
2008-06-16 18:00:00,25.0,1.9639,Yes,Short,,Win,1.9639,0,0,1.0
2008-06-23 18:00:00,59.9,1.9597,Yes,Long,1.0,Win,1.9597,0,0,
2008-06-26 18:00:00,79.7,1.9893,Yes,Short,,Win,1.9893,0,0,1.0
2008-07-07 18:00:00,13.9,1.9697,Yes,Long,1.0,Win,1.9697,0,0,
2008-07-15 18:00:00,50.0,2.0052,Yes,Short,,Win,2.0052,0,0,1.0
2008-07-24 18:00:00,10.7,1.9832,Yes,Long,1.0,Win,1.9832,0,0,
2008-07-29 18:00:00,25.0,1.9811,Yes,Long,1.0,Loss,1.9811,0,0,
2008-08-13 18:00:00,25.0,1.8655,Yes,Long,1.0,Win,1.8655,0,0,
2008-09-08 18:00:00,0.0,1.7645,Yes,Long,1.0,Loss,1.7645,0,0,
2008-09-16 18:00:00,28.0,1.7743,Yes,Long,1.0,Win,1.7743,0,0,
2008-10-06 18:00:00,25.0,1.7342,Yes,Long,1.0,Win,1.7342,0,0,
2008-10-13 18:00:00,25.0,1.742,Yes,Short,,Win,1.742,0,0,1.0
