Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,NY_Sweep_Asia_Low,Outcome,Entry,SL,TP,NY_Sweep_Asia_High
2015-03-11 20:00:00,0.0,1.49127,Yes,Long,1.0,Win,1.49127,0,0,
2015-03-12 19:00:00,0.0,1.48861,Yes,Long,1.0,Loss,1.48861,0,0,
2015-03-16 19:00:00,0.0,1.48435,Yes,Short,,Win,1.48435,0,0,1.0
2015-03-17 16:00:00,0.0,1.47638,Yes,Long,1.0,Loss,1.47638,0,0,
2015-03-18 23:00:00,25.0,1.49764,Yes,Short,,Win,1.49764,0,0,1.0
2015-03-19 18:00:00,25.0,1.47258,Yes,Long,1.0,Win,1.47258,0,0,
2015-03-20 15:00:00,50.0,1.48228,Yes,Short,,Loss,1.48228,0,0,1.0
2015-03-23 22:00:00,25.0,1.49675,Yes,Short,,Win,1.49675,0,0,1.0
2015-03-24 15:00:00,25.0,1.49301,Yes,Short,,Win,1.49301,0,0,1.0
2015-03-26 17:00:00,37.6,1.48291,Yes,Long,1.0,Win,1.48291,0,0,
2015-03-30 15:00:00,8.6,1.47844,Yes,Long,1.0,Win,1.47844,0,0,
2015-03-31 16:00:00,1.7,1.47891,Yes,Long,1.0,Win,1.47891,0,0,
2015-04-02 17:00:00,25.0,1.48272,Yes,Short,,Loss,1.48272,0,0,1.0
2015-04-03 16:00:00,25.0,1.49252,Yes,Short,,Win,1.49252,0,0,1.0
2015-04-06 23:00:00,50.0,1.48893,Yes,Long,1.0,Win,1.48893,0,0,
2015-04-07 18:00:00,27.3,1.48684,Yes,Short,,Win,1.48684,0,0,1.0
2015-04-09 21:00:00,6.9,1.46985,Yes,Long,1.0,Win,1.46985,0,0,
2015-04-13 20:00:00,0.0,1.46675,Yes,Short,,Loss,1.46675,0,0,1.0
2015-04-14 17:00:00,0.0,1.47818,Yes,Short,,Win,1.47818,0,0,1.0
2015-04-15 23:00:00,50.0,1.4851,Yes,Short,,Win,1.4851,0,0,1.0
2015-04-16 21:00:00,50.0,1.4948,Yes,Short,,Win,1.4948,0,0,1.0
2015-04-17 22:00:00,50.0,1.49608,Yes,Short,,Loss,1.49608,0,0,1.0
2015-04-20 16:00:00,27.1,1.49141,Yes,Long,1.0,Loss,1.49141,0,0,
2015-04-21 17:00:00,10.7,1.48825,Yes,Long,1.0,Win,1.48825,0,0,
2015-04-22 21:00:00,52.4,1.50348,Yes,Short,,Win,1.50348,0,0,1.0
2015-04-23 21:00:00,90.8,1.50554,Yes,Short,,Win,1.50554,0,0,1.0
2015-04-27 19:00:00,91.9,1.52334,Yes,Short,,Win,1.52334,0,0,1.0
2015-04-29 18:00:00,91.8,1.54529,Yes,Short,,Win,1.54529,0,0,1.0
2015-04-30 17:00:00,92.7,1.53579,Yes,Long,1.0,Loss,1.53579,0,0,
2015-05-01 20:00:00,70.2,1.51154,Yes,Long,1.0,Win,1.51154,0,0,
2015-05-04 18:00:00,32.0,1.51167,Yes,Long,1.0,Loss,1.51167,0,0,
2015-05-05 17:00:00,13.8,1.51879,Yes,Short,,Win,1.51879,0,0,1.0
2015-05-06 16:00:00,28.6,1.5227,Yes,Short,,Loss,1.5227,0,0,1.0
2015-05-08 16:00:00,50.0,1.54303,Yes,Long,1.0,Win,1.54303,0,0,
2015-05-11 19:00:00,50.5,1.55929,Yes,Short,,Win,1.55929,0,0,1.0
2015-05-12 19:00:00,56.9,1.56829,Yes,Short,,Win,1.56829,0,0,1.0
2015-05-13 19:00:00,72.3,1.57466,Yes,Short,,Win,1.57466,0,0,1.0
2015-05-15 18:00:00,97.4,1.57886,Yes,Short,,Win,1.57886,0,0,1.0
2015-05-18 21:00:00,45.5,1.56518,Yes,Long,1.0,Loss,1.56518,0,0,
2015-05-19 15:00:00,40.0,1.54965,Yes,Long,1.0,Win,1.54965,0,0,
2015-05-20 16:00:00,21.1,1.55677,Yes,Short,,Win,1.55677,0,0,1.0
2015-05-22 21:00:00,25.1,1.54748,Yes,Long,1.0,Loss,1.54748,0,0,
2015-05-25 16:00:00,0.0,1.54659,Yes,Long,1.0,Win,1.54659,0,0,
2015-05-26 16:00:00,0.0,1.53812,Yes,Long,1.0,Win,1.53812,0,0,
2015-05-27 16:00:00,0.0,1.53387,Yes,Long,1.0,Win,1.53387,0,0,
2015-06-01 19:00:00,0.0,1.51861,Yes,Long,1.0,Win,1.51861,0,0,
2015-06-02 20:00:00,0.0,1.53582,Yes,Short,,Win,1.53582,0,0,1.0
2015-06-03 21:00:00,50.0,1.53176,Yes,Long,1.0,Win,1.53176,0,0,
2015-06-04 20:00:00,50.0,1.53819,Yes,Short,,Win,1.53819,0,0,1.0
2015-06-05 16:00:00,50.0,1.52378,Yes,Long,1.0,Win,1.52378,0,0,
2015-06-09 19:00:00,50.0,1.53817,Yes,Short,,Loss,1.53817,0,0,1.0
2015-06-10 18:00:00,53.1,1.55396,Yes,Short,,Win,1.55396,0,0,1.0
2015-06-12 18:00:00,53.3,1.55675,Yes,Short,,Win,1.55675,0,0,1.0
2015-06-15 22:00:00,83.6,1.56059,Yes,Short,,Loss,1.56059,0,0,1.0
2015-06-16 22:00:00,86.0,1.56484,Yes,Short,,Win,1.56484,0,0,1.0
2015-06-17 23:00:00,91.4,1.58357,Yes,Short,,Loss,1.58357,0,0,1.0
2015-06-18 23:00:00,95.2,1.58868,Yes,Short,,Win,1.58868,0,0,1.0
2015-06-19 20:00:00,71.5,1.58721,Yes,Long,1.0,Win,1.58721,0,0,
2015-06-22 15:00:00,71.5,1.58206,Yes,Long,1.0,Loss,1.58206,0,0,
2015-06-23 17:00:00,93.3,1.57472,Yes,Long,1.0,Loss,1.57472,0,0,
