Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Judas_Long,Outcome,Entry,SL,TP,Judas_Short
2014-10-13 13:00:00,25.0,1.60898,Yes,Long,1.0,Loss,1.60898,1.60697,1.613,
2014-10-15 11:00:00,25.0,1.58945,Yes,Short,,Loss,1.58945,1.59244,1.58347,1.0
2014-10-16 10:00:00,0.0,1.59883,Yes,Long,1.0,Loss,1.59883,1.59497,1.60655,
2014-10-16 14:00:00,0.0,1.59832,Yes,Long,1.0,Win,1.59832,1.59399,1.60698,
2014-10-20 11:00:00,50.0,1.6104,Yes,Long,1.0,Win,1.6104,1.60799,1.61522,
2014-10-21 12:00:00,50.0,1.61662,Yes,Long,1.0,Loss,1.61662,1.61513,1.62062,
2014-10-21 15:00:00,50.0,1.61564,Yes,Long,1.0,Loss,1.61564,1.61418,1.61964,
2014-10-22 10:00:00,50.0,1.61156,Yes,Short,,Win,1.61156,1.61305,1.60756,1.0
2014-10-23 10:00:00,1.4,1.60426,Yes,Short,,Win,1.60426,1.60598,1.60026,1.0
2014-10-27 12:00:00,59.6,1.60991,Yes,Short,,Loss,1.60991,1.61224,1.60525,1.0
2014-10-28 13:00:00,65.3,1.61219,Yes,Long,1.0,Loss,1.61219,1.60881,1.61895,
2014-10-29 10:00:00,58.8,1.61377,Yes,Short,,Loss,1.61377,1.61543,1.60977,1.0
2014-10-29 17:00:00,57.7,1.61496,Yes,Long,1.0,Loss,1.61496,1.61043,1.62402,
2014-10-30 15:00:00,25.0,1.60008,Yes,Long,1.0,Loss,1.60008,1.59504,1.61016,
2014-11-03 16:00:00,0.0,1.59779,Yes,Short,,Loss,1.59779,1.60063,1.59211,1.0
2014-11-04 11:00:00,50.0,1.59918,Yes,Short,,Loss,1.59918,1.60085,1.59518,1.0
2014-11-04 18:00:00,50.0,1.59894,Yes,Short,,Loss,1.59894,1.60161,1.5936,1.0
2014-11-05 15:00:00,25.0,1.59662,Yes,Long,1.0,Loss,1.59662,1.58863,1.6126,
2014-11-06 13:00:00,25.0,1.59548,Yes,Long,1.0,Loss,1.59548,1.59431,1.59948,
2014-11-11 12:00:00,0.0,1.58466,Yes,Short,,Loss,1.58466,1.58584,1.58066,1.0
2014-11-11 14:00:00,0.0,1.58555,Yes,Short,,Loss,1.58555,1.58738,1.58155,1.0
2014-11-12 10:00:00,25.0,1.59223,Yes,Short,,Loss,1.59223,1.59395,1.58823,1.0
2014-11-12 12:00:00,25.0,1.58819,Yes,Short,,Win,1.58819,1.5941,1.57637,1.0
2014-11-13 12:00:00,0.0,1.57638,Yes,Long,1.0,Loss,1.57638,1.57531,1.58038,
2014-11-18 10:00:00,25.0,1.56562,Yes,Short,,Loss,1.56562,1.56656,1.56162,1.0
2014-11-18 11:00:00,25.0,1.56551,Yes,Short,,Loss,1.56551,1.56685,1.56151,1.0
2014-11-19 11:00:00,25.0,1.56502,Yes,Long,1.0,Win,1.56502,1.55897,1.57712,
2014-11-20 11:00:00,25.0,1.56745,Yes,Long,1.0,Loss,1.56745,1.56318,1.57599,
2014-11-24 11:00:00,25.0,1.5643,Yes,Long,1.0,Win,1.5643,1.56284,1.5683,
2014-11-25 10:00:00,25.0,1.56886,Yes,Long,1.0,Win,1.56886,1.56485,1.57688,
2014-11-26 10:00:00,50.0,1.57078,Yes,Short,,Loss,1.57078,1.57275,1.56678,1.0
2014-11-26 12:00:00,50.0,1.57293,Yes,Long,1.0,Loss,1.57293,1.56792,1.58295,
2014-11-27 10:00:00,62.0,1.57771,Yes,Short,,Win,1.57771,1.58257,1.56799,1.0
2015-01-07 10:00:00,0.0,1.5127,Yes,Short,,Win,1.5127,1.51554,1.50702,1.0
2015-01-08 16:00:00,0.0,1.509,Yes,Long,1.0,Win,1.509,1.5044,1.5182,
2015-01-12 16:00:00,25.0,1.517,Yes,Long,1.0,Loss,1.517,1.513,1.525,
2015-01-12 18:00:00,25.0,1.51666,Yes,Long,1.0,Loss,1.51666,1.51289,1.5242,
2015-01-13 14:00:00,25.0,1.5173,Yes,Long,1.0,Loss,1.5173,1.50887,1.53416,
2015-01-14 11:00:00,0.0,1.5173,Yes,Short,,Loss,1.5173,1.52232,1.50726,1.0
2015-01-15 13:00:00,25.0,1.52343,Yes,Long,1.0,Loss,1.52343,1.51565,1.53899,
2015-01-19 10:00:00,0.9,1.51542,Yes,Long,1.0,Loss,1.51542,1.51184,1.52258,
2015-01-22 16:00:00,25.0,1.51319,Yes,Short,,Win,1.51319,1.52123,1.49711,1.0
2015-01-26 10:00:00,0.0,1.50124,Yes,Short,,Loss,1.50124,1.50448,1.49476,1.0
2015-01-27 10:00:00,0.0,1.51111,Yes,Long,1.0,Loss,1.51111,1.50726,1.51881,
2015-01-27 13:00:00,0.0,1.50795,Yes,Long,1.0,Win,1.50795,1.50594,1.51197,
2015-01-28 16:00:00,50.0,1.51782,Yes,Short,,Win,1.51782,1.52188,1.5097,1.0
2015-01-29 11:00:00,25.0,1.51369,Yes,Long,1.0,Loss,1.51369,1.51103,1.51901,
2015-02-02 11:00:00,25.0,1.50098,Yes,Short,,Loss,1.50098,1.50887,1.4852,1.0
2015-02-03 11:00:00,25.0,1.50182,Yes,Long,1.0,Win,1.50182,1.49889,1.50768,
2015-02-09 10:00:00,65.9,1.52378,Yes,Short,,Loss,1.52378,1.52672,1.5179,1.0
2015-02-10 10:00:00,16.1,1.52354,Yes,Short,,Loss,1.52354,1.52501,1.51954,1.0
2015-02-11 16:00:00,53.8,1.52506,Yes,Short,,Loss,1.52506,1.52991,1.51536,1.0
2015-02-12 12:00:00,82.5,1.53221,Yes,Long,1.0,Win,1.53221,1.52091,1.55481,
2015-02-17 11:00:00,56.2,1.53602,Yes,Long,1.0,Loss,1.53602,1.53358,1.5409,
2015-02-18 10:00:00,26.0,1.53635,Yes,Long,1.0,Win,1.53635,1.53416,1.54073,
2015-02-19 17:00:00,77.4,1.54385,Yes,Long,1.0,Loss,1.54385,1.54039,1.55077,
2015-02-23 14:00:00,29.1,1.53722,Yes,Long,1.0,Win,1.53722,1.53323,1.5452,
2015-02-24 11:00:00,49.9,1.54422,Yes,Short,,Loss,1.54422,1.5466,1.53946,1.0
2015-02-24 18:00:00,73.8,1.54333,Yes,Short,,Loss,1.54333,1.54727,1.53545,1.0
2015-02-25 13:00:00,46.7,1.54971,Yes,Short,,Loss,1.54971,1.55381,1.54151,1.0
2015-02-26 11:00:00,71.9,1.55325,Yes,Long,1.0,Loss,1.55325,1.5516,1.55725,
2015-03-02 10:00:00,15.8,1.53972,Yes,Long,1.0,Loss,1.53972,1.53849,1.54372,
2015-03-03 16:00:00,25.6,1.53908,Yes,Long,1.0,Loss,1.53908,1.53446,1.54832,
2015-03-05 15:00:00,0.0,1.52281,Yes,Short,,Win,1.52281,1.52694,1.51455,1.0
2015-03-09 10:00:00,0.0,1.50659,Yes,Short,,Loss,1.50659,1.50783,1.50259,1.0
2015-03-10 13:00:00,0.0,1.50773,Yes,Long,1.0,Loss,1.50773,1.50285,1.51749,
2015-03-12 16:00:00,0.0,1.49403,Yes,Short,,Win,1.49403,1.50263,1.47683,1.0
2015-03-16 17:00:00,0.0,1.47709,Yes,Short,,Loss,1.47709,1.48217,1.46693,1.0
