UA_Time,Trigger_Direction,HTF_Bullish_Prob_%,Close_Price,In_4h_Bear_FVG,1h_Bearish_Flip,In_4h_Bull_FVG,1h_Bullish_Flip
2017-01-05 11:00:00,Long,52.3,1.23035,,,1.0,1.0
2017-01-13 13:00:00,Short,25.0,1.2185,1.0,1.0,,
2017-01-20 11:00:00,Short,30.2,1.22909,1.0,1.0,,
2017-02-13 17:00:00,Long,25.0,1.25023,,,1.0,1.0
2017-02-16 13:00:00,Short,0.0,1.24932,1.0,1.0,,
2017-05-09 19:00:00,Short,46.7,1.29381,1.0,1.0,,
2017-06-01 11:00:00,Long,25.0,1.28733,,,1.0,1.0
2017-06-26 14:00:00,Long,50.0,1.27408,,,1.0,1.0
2017-06-27 14:00:00,Long,50.0,1.27483,,,1.0,1.0
2017-07-03 12:00:00,Short,63.8,1.29627,1.0,1.0,,
2017-07-12 17:00:00,Short,25.0,1.28631,1.0,1.0,,
2017-08-09 12:00:00,Short,0.0,1.30005,1.0,1.0,,
2017-08-09 17:00:00,Short,0.0,1.29803,1.0,1.0,,
2017-09-19 10:00:00,Short,67.9,1.35308,1.0,1.0,,
2017-09-20 22:00:00,Short,67.0,1.34832,1.0,1.0,,
2017-10-09 20:00:00,Long,25.0,1.31453,,,1.0,1.0
2017-10-26 13:00:00,Long,25.0,1.3218,,,1.0,1.0
2017-12-01 17:00:00,Long,65.0,1.3489,,,1.0,1.0
2018-01-10 14:00:00,Short,23.4,1.35272,1.0,1.0,,
2018-01-23 18:00:00,Short,94.3,1.39658,1.0,1.0,,
2018-02-12 16:00:00,Long,0.0,1.38295,,,1.0,1.0
2018-02-21 18:00:00,Short,19.2,1.39443,1.0,1.0,,
2018-02-27 13:00:00,Short,50.0,1.39492,1.0,1.0,,
2018-03-15 20:00:00,Long,82.4,1.39647,,,1.0,1.0
2018-03-16 18:00:00,Long,29.3,1.3917,,,1.0,1.0
2018-04-04 11:00:00,Long,25.0,1.40832,,,1.0,1.0
2018-04-06 15:00:00,Short,25.0,1.40033,1.0,1.0,,
2018-04-13 10:00:00,Long,60.3,1.42525,,,1.0,1.0
2018-04-17 14:00:00,Long,93.3,1.4332,,,1.0,1.0
2018-05-10 15:00:00,Short,50.0,1.35312,1.0,1.0,,
2018-05-30 12:00:00,Short,0.0,1.32739,1.0,1.0,,
2018-05-31 18:00:00,Long,0.0,1.33068,,,1.0,1.0
2018-06-20 17:00:00,Short,0.0,1.31918,1.0,1.0,,
2018-07-10 12:00:00,Short,46.9,1.32493,1.0,1.0,,
2018-07-11 18:00:00,Short,63.2,1.32508,1.0,1.0,,
2018-08-09 10:00:00,Short,0.0,1.28732,1.0,1.0,,
2018-08-14 12:00:00,Short,50.0,1.27697,1.0,1.0,,
2018-08-29 11:00:00,Long,82.3,1.28664,,,1.0,1.0
2018-09-12 13:00:00,Long,50.0,1.30337,,,1.0,1.0
2018-09-24 16:00:00,Short,49.9,1.31385,1.0,1.0,,
2018-10-11 01:00:00,Long,29.3,1.31959,,,1.0,1.0
2018-10-18 15:00:00,Short,37.1,1.31078,1.0,1.0,,
2018-11-09 15:00:00,Short,63.3,1.30331,1.0,1.0,,
2018-11-16 17:00:00,Short,25.0,1.28397,1.0,1.0,,
2018-11-21 09:00:00,Short,0.0,1.27955,1.0,1.0,,
2019-01-02 08:00:00,Short,49.6,1.27549,1.0,1.0,,
2019-01-04 17:00:00,Long,0.0,1.2723,,,1.0,1.0
2019-02-12 17:00:00,Short,0.0,1.28827,1.0,1.0,,
2019-03-18 12:00:00,Long,10.9,1.32536,,,1.0,1.0
2019-03-22 12:00:00,Long,35.8,1.31505,,,1.0,1.0
2019-04-16 18:00:00,Short,25.0,1.30544,1.0,1.0,,
2019-04-25 19:00:00,Short,0.0,1.29005,1.0,1.0,,
2019-05-13 15:00:00,Short,50.0,1.30128,1.0,1.0,,
2019-06-04 13:00:00,Long,25.0,1.26665,,,1.0,1.0
2019-06-11 14:00:00,Short,52.8,1.2701,1.0,1.0,,
2019-06-27 15:00:00,Short,20.3,1.27033,1.0,1.0,,
2019-07-08 14:00:00,Short,0.0,1.25234,1.0,1.0,,
2019-07-10 14:00:00,Short,0.0,1.24698,1.0,1.0,,
2019-07-25 16:00:00,Long,50.0,1.25036,,,1.0,1.0
2019-08-05 12:00:00,Long,25.0,1.21353,,,1.0,1.0
2019-08-14 15:00:00,Short,25.0,1.20689,1.0,1.0,,
2019-09-06 13:00:00,Long,50.0,1.23003,,,1.0,1.0
2019-09-09 11:00:00,Long,25.9,1.2268,,,1.0,1.0
2019-10-02 16:00:00,Short,0.0,1.22662,1.0,1.0,,
2019-10-03 11:00:00,Long,25.0,1.22862,,,1.0,1.0
2019-10-09 13:00:00,Short,0.0,1.22322,1.0,1.0,,
2019-11-12 11:00:00,Long,25.0,1.28382,,,1.0,1.0
2019-12-06 12:00:00,Long,89.3,1.31297,,,1.0,1.0
