Datetime_Kyiv,Direction,Entry_Price,Algo_Vol_Crush_Short,Outcome,Hold_Bars
2005-03-11 16:00:00,Short,1.9244,1.0,Loss,8
2005-03-15 17:00:00,Short,1.9162,1.0,Win,8
2005-03-21 10:00:00,Short,1.9062,1.0,Win,8
2005-03-22 22:00:00,Short,1.8854,1.0,Loss,8
2005-03-23 16:00:00,Short,1.8743,1.0,Win,8
2005-04-01 17:00:00,Short,1.8892,1.0,Win,8
2005-04-08 20:00:00,Short,1.8825,1.0,Loss,8
2005-04-12 17:00:00,Short,1.8866,1.0,Loss,8
2005-04-15 18:00:00,Short,1.8933,1.0,Loss,8
2005-04-27 17:00:00,Short,1.9088,1.0,Win,8
2005-05-06 17:00:00,Short,1.8933,1.0,Win,8
2005-05-11 17:00:00,Short,1.8741,1.0,Win,8
2005-05-12 17:00:00,Short,1.8633,1.0,Loss,8
2005-05-26 11:00:00,Short,1.8248,1.0,Win,8
2005-05-31 06:00:00,Short,1.8146,1.0,Loss,8
2005-06-03 17:00:00,Short,1.8182,1.0,Win,8
2005-06-09 19:00:00,Short,1.8211,1.0,Loss,8
2005-06-10 19:00:00,Short,1.8131,1.0,Win,8
2005-06-14 17:00:00,Short,1.8077,1.0,Win,8
2005-06-15 19:00:00,Short,1.822,1.0,Win,8
2005-06-16 18:00:00,Short,1.8198,1.0,Loss,8
2005-06-22 13:00:00,Short,1.8203,1.0,Loss,8
2005-06-23 17:00:00,Short,1.8189,1.0,Win,8
2005-06-30 14:00:00,Short,1.7937,1.0,Win,8
2005-07-04 02:00:00,Short,1.7618,1.0,Win,8
2005-07-05 13:00:00,Short,1.7562,1.0,Win,8
2005-07-07 14:00:00,Short,1.7459,1.0,Win,8
2005-07-11 19:00:00,Short,1.7566,1.0,Win,8
2005-07-20 13:00:00,Short,1.7391,1.0,Win,8
2005-07-21 16:00:00,Short,1.7503,1.0,Loss,8
2005-08-31 19:00:00,Short,1.8016,1.0,Loss,8
2005-09-01 19:00:00,Short,1.8285,1.0,Loss,8
2005-09-02 16:00:00,Short,1.8336,1.0,Loss,8
2005-09-05 06:00:00,Short,1.848,1.0,Loss,8
2005-09-08 17:00:00,Short,1.8423,1.0,Win,8
2005-09-15 13:00:00,Short,1.8081,1.0,Win,8
2005-09-21 13:00:00,Short,1.8083,1.0,Loss,8
2005-09-22 17:00:00,Short,1.7954,1.0,Win,8
2005-09-30 19:00:00,Short,1.7697,1.0,Win,8
2005-10-06 05:00:00,Short,1.7723,1.0,Win,8
2005-10-07 17:00:00,Short,1.7613,1.0,Win,8
2005-10-13 21:00:00,Short,1.7543,1.0,Win,8
2005-10-14 17:00:00,Short,1.756,1.0,Loss,8
2005-10-17 05:00:00,Short,1.7693,1.0,Win,8
2005-10-19 14:00:00,Short,1.7584,1.0,Loss,8
2005-10-20 13:00:00,Short,1.7678,1.0,Loss,8
2005-10-25 13:00:00,Short,1.7776,1.0,Loss,8
2005-10-26 12:00:00,Short,1.7782,1.0,Win,8
2005-11-04 17:00:00,Short,1.7501,1.0,Win,8
2005-11-07 16:00:00,Short,1.741,1.0,Loss,8
2005-11-08 04:00:00,Short,1.7371,1.0,Loss,8
2005-11-09 17:00:00,Short,1.7408,1.0,Loss,8
2005-11-16 13:00:00,Short,1.7256,1.0,Win,8
2005-11-18 17:00:00,Short,1.7138,1.0,Loss,8
2005-11-22 22:00:00,Short,1.7222,1.0,Loss,8
2005-11-28 18:00:00,Short,1.7222,1.0,Loss,8
2005-11-30 18:00:00,Short,1.7324,1.0,Win,8
2005-12-02 16:00:00,Short,1.7277,1.0,Loss,8
2005-12-06 12:00:00,Short,1.7344,1.0,Loss,8
2005-12-08 18:00:00,Short,1.7517,1.0,Win,8
2005-12-12 16:00:00,Short,1.7716,1.0,Loss,8
2005-12-21 17:00:00,Short,1.7393,1.0,Loss,8
2005-12-28 20:00:00,Short,1.7161,1.0,Loss,8
2006-01-03 18:00:00,Short,1.7405,1.0,Loss,8
2006-01-06 16:00:00,Short,1.7691,1.0,Win,8
2006-01-13 16:00:00,Short,1.7691,1.0,Loss,8
2006-01-17 12:00:00,Short,1.7629,1.0,Loss,8
2006-01-19 18:00:00,Short,1.7618,1.0,Win,8
2006-01-25 12:00:00,Short,1.7894,1.0,Win,8
2006-01-27 16:00:00,Short,1.7868,1.0,Win,8
2006-01-31 22:00:00,Short,1.7792,1.0,Loss,8
2006-02-03 16:00:00,Short,1.7629,1.0,Win,8
2006-02-10 16:00:00,Short,1.7566,1.0,Win,8
2006-02-15 18:00:00,Short,1.7404,1.0,Win,8
2006-03-03 18:00:00,Short,1.7532,1.0,Loss,8
2006-03-10 16:00:00,Short,1.7261,1.0,Loss,8
2006-03-16 16:00:00,Short,1.753,1.0,Loss,8
2006-03-20 01:00:00,Short,1.7552,1.0,Loss,8
2006-03-23 18:00:00,Short,1.737,1.0,Win,8
2006-03-28 23:00:00,Short,1.744,1.0,Win,8
2006-03-29 11:00:00,Short,1.7377,1.0,Win,8
2006-03-30 18:00:00,Short,1.744,1.0,Loss,8
2006-04-03 19:00:00,Short,1.7392,1.0,Loss,8
2006-04-04 12:00:00,Short,1.7451,1.0,Loss,8
2006-04-05 13:00:00,Short,1.7531,1.0,Loss,8
2006-04-07 18:00:00,Short,1.7414,1.0,Loss,8
2006-04-12 17:00:00,Short,1.752,1.0,Win,8
2006-04-17 16:00:00,Short,1.7703,1.0,Win,8
2006-04-18 17:00:00,Short,1.7782,1.0,Loss,8
2006-04-20 13:00:00,Short,1.7835,1.0,Win,8
2006-04-27 19:00:00,Short,1.8011,1.0,Loss,8
2006-04-28 19:00:00,Short,1.8222,1.0,Loss,8
2006-05-01 17:00:00,Short,1.8377,1.0,Win,8
2006-05-02 12:00:00,Short,1.8337,1.0,Loss,8
2006-05-03 12:00:00,Short,1.8386,1.0,Loss,8
2006-05-05 17:00:00,Short,1.8616,1.0,Loss,8
2006-05-08 13:00:00,Short,1.8667,1.0,Win,8
2006-05-10 23:00:00,Short,1.8668,1.0,Win,8
2006-05-11 19:00:00,Short,1.8843,1.0,Loss,8
2006-05-12 14:00:00,Short,1.8966,1.0,Win,8
2006-05-17 17:00:00,Short,1.8915,1.0,Win,8
2006-05-19 12:00:00,Short,1.8768,1.0,Win,8
2006-05-24 19:00:00,Short,1.8678,1.0,Loss,8
2006-05-26 18:00:00,Short,1.8552,1.0,Loss,8
2006-05-30 18:00:00,Short,1.8858,1.0,Win,8
2006-06-01 19:00:00,Short,1.8686,1.0,Win,8
2006-06-02 17:00:00,Short,1.8825,1.0,Loss,8
2006-06-09 18:00:00,Short,1.8434,1.0,Win,8
2006-06-14 18:00:00,Short,1.8466,1.0,Win,8
2006-06-29 23:00:00,Short,1.8267,1.0,Loss,8
2006-07-07 17:00:00,Short,1.8515,1.0,Win,8
2006-07-17 13:00:00,Short,1.8208,1.0,Win,8
2006-07-19 19:00:00,Short,1.8379,1.0,Loss,8
2006-07-28 17:00:00,Short,1.864,1.0,Win,8
2006-08-03 16:00:00,Short,1.8901,1.0,Win,8
2006-08-04 17:00:00,Short,1.9095,1.0,Win,8
2006-08-08 23:00:00,Short,1.9092,1.0,Win,8
2006-08-09 03:00:00,Short,1.9004,1.0,Loss,8
