Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Swept_AL_Into_FVG,1h_Bullish_Flip,Outcome,Entry,SL,TP,Swept_AH_Into_FVG,1h_Bearish_Flip
2004-11-22 17:00:00,4.5,1.8578,Yes,Long,1.0,1.0,Loss,1.8578,1.8558,1.8618,,
2004-11-23 11:00:00,60.3,1.8576,Yes,Long,1.0,1.0,Win,1.8576,1.8556,1.8616,,
2004-11-26 10:00:00,82.3,1.8887,Yes,Long,1.0,1.0,Loss,1.8887,1.8867,1.8927,,
2004-11-26 18:00:00,84.5,1.8961,Yes,Long,1.0,1.0,Loss,1.8961,1.8941,1.9001,,
2004-12-06 22:00:00,70.8,1.9389,Yes,Short,,,Loss,1.9389,1.9409,1.9349,1.0,1.0
2004-12-24 10:00:00,50.5,1.9241,Yes,Short,,,Loss,1.9241,1.9261,1.9201,1.0,1.0
2004-12-27 17:00:00,50.0,1.9342,Yes,Long,1.0,1.0,Win,1.9342,1.9322,1.9382,,
2004-12-31 17:00:00,25.0,1.9201,Yes,Short,,,Loss,1.9201,1.9221,1.9161,1.0,1.0
2004-12-31 18:00:00,25.0,1.916,Yes,Short,,,Loss,1.916,1.918,1.912,1.0,1.0
2005-01-07 17:00:00,0.0,1.8683,Yes,Short,,,Loss,1.8683,1.8703,1.8643,1.0,1.0
2005-01-07 18:00:00,0.0,1.8699,Yes,Short,,,Win,1.8699,1.8719,1.8659,1.0,1.0
2005-01-17 09:00:00,0.0,1.8716,Yes,Short,,,Loss,1.8716,1.8736,1.8676,1.0,1.0
2005-01-17 10:00:00,0.0,1.8724,Yes,Short,,,Win,1.8724,1.8744,1.8684,1.0,1.0
2005-01-20 10:00:00,50.0,1.8667,Yes,Short,,,Loss,1.8667,1.8687,1.8627,1.0,1.0
2005-01-21 11:00:00,25.0,1.8625,Yes,Long,1.0,1.0,Win,1.8625,1.8605,1.8665,,
2005-01-28 17:00:00,74.2,1.8833,Yes,Long,1.0,1.0,Win,1.8833,1.8813,1.8873,,
2005-02-03 15:00:00,46.5,1.8803,Yes,Short,,,Loss,1.8803,1.8823,1.8763,1.0,1.0
