Datetime_Kyiv,Direction,Entry_Price,Asian_Box_Long,Outcome,Hold_Bars,Asian_Box_Short
2015-08-14 12:00:00,Short,1.56079,,Loss,8,1.0
2015-08-19 12:00:00,Long,1.56796,1.0,Loss,8,
2015-09-14 12:00:00,Long,1.54488,1.0,Loss,8,
2015-09-28 12:00:00,Long,1.52306,1.0,Loss,8,
2015-09-29 12:00:00,Long,1.51933,1.0,Loss,8,
2015-10-08 12:00:00,Long,1.53258,1.0,Loss,8,
2015-10-20 12:00:00,Long,1.54768,1.0,Loss,8,
2015-10-22 12:00:00,Long,1.54753,1.0,Loss,8,
2015-10-27 11:00:00,Short,1.53469,,Win,8,1.0
2015-12-07 11:00:00,Short,1.50653,,Win,8,1.0
2015-12-08 11:00:00,Short,1.50106,,Win,8,1.0
2015-12-14 11:00:00,Short,1.51685,,Win,8,1.0
2015-12-16 11:00:00,Short,1.50212,,Win,8,1.0
2015-12-21 11:00:00,Short,1.49071,,Win,8,1.0
2015-12-29 11:00:00,Short,1.48702,,Win,8,1.0
2016-01-05 11:00:00,Short,1.46785,,Win,8,1.0
2016-01-27 11:00:00,Short,1.43042,,Win,8,1.0
2016-02-10 11:00:00,Long,1.44976,1.0,Loss,8,
2016-02-15 11:00:00,Short,1.44728,,Win,8,1.0
2016-03-02 11:00:00,Short,1.39248,,Loss,8,1.0
2016-03-03 11:00:00,Short,1.40813,,Loss,8,1.0
2016-03-04 11:00:00,Short,1.41381,,Loss,8,1.0
2016-03-08 11:00:00,Short,1.42362,,Win,8,1.0
2016-03-09 11:00:00,Long,1.42294,1.0,Loss,8,
2016-03-22 11:00:00,Short,1.42559,,Win,8,1.0
2016-03-24 11:00:00,Short,1.40647,,Loss,8,1.0
2016-03-28 12:00:00,Long,1.41723,1.0,Win,8,
2016-04-26 12:00:00,Long,1.45711,1.0,Win,8,
2016-05-05 12:00:00,Short,1.45046,,Win,8,1.0
2016-05-11 12:00:00,Short,1.44197,,Loss,8,1.0
2016-05-24 12:00:00,Long,1.45354,1.0,Win,8,
2016-06-03 12:00:00,Long,1.4433,1.0,Win,8,
2016-06-08 12:00:00,Short,1.45317,,Loss,8,1.0
2016-06-22 12:00:00,Short,1.46556,,Loss,8,1.0
2016-06-29 12:00:00,Long,1.33909,1.0,Win,8,
2016-07-11 12:00:00,Short,1.28562,,Loss,8,1.0
2016-08-05 12:00:00,Long,1.31373,1.0,Loss,8,
2016-09-07 12:00:00,Short,1.3388,,Win,8,1.0
2016-09-13 12:00:00,Short,1.33,,Win,8,1.0
2016-09-16 12:00:00,Short,1.32063,,Win,8,1.0
2016-11-23 11:00:00,Short,1.23749,,Loss,8,1.0
2016-11-30 11:00:00,Long,1.24873,1.0,Win,8,
2016-12-13 11:00:00,Long,1.27117,1.0,Loss,8,
2016-12-22 11:00:00,Short,1.23327,,Win,8,1.0
2016-12-23 11:00:00,Short,1.22763,,Win,8,1.0
2016-12-28 11:00:00,Short,1.22468,,Win,8,1.0
2017-01-02 11:00:00,Short,1.23254,,Win,8,1.0
2017-01-19 11:00:00,Long,1.23082,1.0,Loss,8,
2017-02-02 11:00:00,Long,1.26947,1.0,Loss,8,
2017-02-06 11:00:00,Short,1.24744,,Win,8,1.0
2017-03-20 11:00:00,Long,1.24094,1.0,Loss,8,
2017-03-30 12:00:00,Short,1.24109,,Loss,8,1.0
2017-04-11 12:00:00,Short,1.24219,,Loss,8,1.0
2017-04-12 12:00:00,Long,1.25025,1.0,Loss,8,
2017-04-21 12:00:00,Long,1.28015,1.0,Loss,8,
