Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,LDN_Protected_AH_Short,Outcome,Entry,SL,TP,LDN_Protected_AL_Long
2025-04-10 10:00:00,50.0,1.28674,Yes,Long,,Loss,1.28674,1.28474,1.29074,1.0
2025-04-21 10:00:00,95.3,1.33814,Yes,Long,,Win,1.33814,1.33614,1.34214,1.0
2025-04-22 10:00:00,95.1,1.33898,Yes,Long,,Loss,1.33898,1.33698,1.34298,1.0
2025-04-23 10:00:00,92.3,1.3321,Yes,Short,1.0,Win,1.3321,1.3341,1.3281,
2025-05-07 10:00:00,50.0,1.33642,Yes,Long,,Loss,1.33642,1.33442,1.34042,1.0
2025-05-12 10:00:00,0.0,1.32849,Yes,Short,1.0,Win,1.32849,1.33049,1.32449,
2025-05-14 10:00:00,0.0,1.3299,Yes,Long,,Win,1.3299,1.3279,1.3339,1.0
2025-05-15 10:00:00,25.0,1.33035,Yes,Short,1.0,Win,1.33035,1.33235,1.32635,
2025-05-16 10:00:00,25.0,1.33243,Yes,Long,,Loss,1.33243,1.33043,1.33643,1.0
2025-05-19 10:00:00,25.0,1.33208,Yes,Long,,Win,1.33208,1.33008,1.33608,1.0
2025-05-20 10:00:00,25.0,1.3369,Yes,Long,,Loss,1.3369,1.3349,1.3409,1.0
2025-05-21 10:00:00,9.3,1.34451,Yes,Long,,Loss,1.34451,1.34251,1.34851,1.0
2025-05-22 10:00:00,53.2,1.3419,Yes,Long,,Loss,1.3419,1.3399,1.3459,1.0
2025-05-23 10:00:00,58.8,1.34486,Yes,Long,,Win,1.34486,1.34286,1.34886,1.0
2025-06-03 10:00:00,62.7,1.35317,Yes,Long,,Loss,1.35317,1.35117,1.35717,1.0
2025-06-06 10:00:00,51.8,1.35499,Yes,Long,,Loss,1.35499,1.35299,1.35899,1.0
2025-06-11 10:00:00,18.7,1.34667,Yes,Short,1.0,Loss,1.34667,1.34867,1.34267,
2025-06-13 10:00:00,58.1,1.35375,Yes,Long,,Loss,1.35375,1.35175,1.35775,1.0
2025-06-16 10:00:00,1.7,1.35858,Yes,Short,1.0,Loss,1.35858,1.36058,1.35458,
2025-06-17 10:00:00,54.7,1.35622,Yes,Short,1.0,Win,1.35622,1.35822,1.35222,
2025-06-18 10:00:00,50.0,1.34628,Yes,Short,1.0,Win,1.34628,1.34828,1.34228,
2025-06-20 10:00:00,0.0,1.34671,Yes,Long,,Win,1.34671,1.34471,1.35071,1.0
2025-06-23 10:00:00,25.0,1.34373,Yes,Short,1.0,Win,1.34373,1.34573,1.33973,
2025-06-26 10:00:00,50.0,1.37188,Yes,Long,,Win,1.37188,1.36988,1.37588,1.0
2025-07-01 10:00:00,40.4,1.3739,Yes,Long,,Win,1.3739,1.3719,1.3779,1.0
2025-07-03 10:00:00,35.3,1.36497,Yes,Short,1.0,Loss,1.36497,1.36697,1.36097,
2025-07-04 10:00:00,48.0,1.36756,Yes,Short,1.0,Win,1.36756,1.36956,1.36356,
2025-07-07 10:00:00,31.7,1.36125,Yes,Short,1.0,Loss,1.36125,1.36325,1.35725,
2025-07-09 10:00:00,0.0,1.36025,Yes,Short,1.0,Win,1.36025,1.36225,1.35625,
2025-07-10 10:00:00,25.0,1.36109,Yes,Short,1.0,Win,1.36109,1.36309,1.35709,
2025-07-11 10:00:00,0.0,1.35339,Yes,Short,1.0,Loss,1.35339,1.35539,1.34939,
2025-07-15 10:00:00,0.0,1.34345,Yes,Short,1.0,Loss,1.34345,1.34545,1.33945,
2025-07-16 10:00:00,0.0,1.34082,Yes,Short,1.0,Win,1.34082,1.34282,1.33682,
2025-07-17 10:00:00,25.0,1.3383,Yes,Short,1.0,Loss,1.3383,1.3403,1.3343,
2025-07-22 10:00:00,50.0,1.34712,Yes,Long,,Win,1.34712,1.34512,1.35112,1.0
2025-07-29 10:00:00,7.0,1.33268,Yes,Short,1.0,Loss,1.33268,1.33468,1.32868,
2025-07-30 10:00:00,0.0,1.33643,Yes,Short,1.0,Loss,1.33643,1.33843,1.33243,
2025-07-31 10:00:00,25.0,1.32778,Yes,Short,1.0,Win,1.32778,1.32978,1.32378,
2025-08-12 10:00:00,49.5,1.34339,Yes,Short,1.0,Loss,1.34339,1.34539,1.33939,
2025-08-22 10:00:00,0.2,1.34016,Yes,Short,1.0,Loss,1.34016,1.34216,1.33616,
2025-08-25 10:00:00,25.0,1.35192,Yes,Long,,Loss,1.35192,1.34992,1.35592,1.0
2025-08-26 10:00:00,0.0,1.34593,Yes,Short,1.0,Loss,1.34593,1.34793,1.34193,
2025-09-04 10:00:00,0.0,1.34353,Yes,Long,,Win,1.34353,1.34153,1.34753,1.0
2025-09-30 10:00:00,50.0,1.34402,Yes,Long,,Loss,1.34402,1.34202,1.34802,1.0
2025-10-03 10:00:00,0.0,1.34338,Yes,Short,1.0,Loss,1.34338,1.34538,1.33938,
2025-10-06 10:00:00,0.0,1.34412,Yes,Short,1.0,Loss,1.34412,1.34612,1.34012,
2025-10-08 10:00:00,8.7,1.33963,Yes,Short,1.0,Loss,1.33963,1.34163,1.33563,
2025-10-10 10:00:00,0.0,1.32958,Yes,Short,1.0,Loss,1.32958,1.33158,1.32558,
2025-10-24 10:00:00,27.6,1.33321,Yes,Short,1.0,Loss,1.33321,1.33521,1.32921,
2025-10-27 10:00:00,0.0,1.33266,Yes,Long,,Win,1.33266,1.33066,1.33666,1.0
2025-10-31 10:00:00,0.0,1.31407,Yes,Short,1.0,Win,1.31407,1.31607,1.31007,
2025-11-03 10:00:00,0.0,1.31232,Yes,Short,1.0,Loss,1.31232,1.31432,1.30832,
2025-11-05 10:00:00,25.0,1.3045,Yes,Short,1.0,Loss,1.3045,1.3065,1.3005,
2025-11-06 10:00:00,0.0,1.30846,Yes,Long,,Loss,1.30846,1.30646,1.31246,1.0
2025-11-10 10:00:00,50.0,1.31734,Yes,Long,,Loss,1.31734,1.31534,1.32134,1.0
2025-11-12 10:00:00,0.0,1.31165,Yes,Short,1.0,Loss,1.31165,1.31365,1.30765,
2025-11-14 10:00:00,60.4,1.31656,Yes,Short,1.0,Win,1.31656,1.31856,1.31256,
2025-11-17 10:00:00,44.7,1.31648,Yes,Short,1.0,Loss,1.31648,1.31848,1.31248,
2025-11-20 10:00:00,0.0,1.3065,Yes,Short,1.0,Loss,1.3065,1.3085,1.3025,
2025-11-26 10:00:00,50.0,1.31735,Yes,Long,,Loss,1.31735,1.31535,1.32135,1.0
2025-11-27 10:00:00,50.1,1.32229,Yes,Long,,Loss,1.32229,1.32029,1.32629,1.0
2025-12-02 10:00:00,82.7,1.32114,Yes,Short,1.0,Loss,1.32114,1.32314,1.31714,
2025-12-11 10:00:00,53.9,1.33665,Yes,Long,,Win,1.33665,1.33465,1.34065,1.0
