Datetime,Profile_Type,Close_Price,Price_ZScore
2015-04-03 11:00:00-04:00,Bearish Setup Detected,1.49117,2.8906707904935547
2015-04-03 13:00:00-04:00,Bearish Setup Detected,1.49162,2.601406606183381
2015-04-07 16:00:00-04:00,Bullish Setup Detected,1.48074,-2.638260780604514
2015-04-09 10:00:00-04:00,Bullish Setup Detected,1.47362,-2.5156680758228567
2015-04-09 13:00:00-04:00,Bullish Setup Detected,1.46985,-2.591572969789185
2015-04-14 08:00:00-04:00,Bearish Setup Detected,1.47296,2.8988252197277826
2015-04-14 09:00:00-04:00,Bearish Setup Detected,1.47818,3.835027968712473
2015-04-14 10:00:00-04:00,Bearish Setup Detected,1.47898,3.4559916913110356
2015-04-14 11:00:00-04:00,Bearish Setup Detected,1.47878,3.0062240953155657
2015-04-14 12:00:00-04:00,Bearish Setup Detected,1.47825,2.6192317450673714
2015-04-14 13:00:00-04:00,Bearish Setup Detected,1.47989,2.6730075879263437
2015-04-22 04:00:00-04:00,Bearish Setup Detected,1.49917,2.9172317894758297
2015-04-22 05:00:00-04:00,Bearish Setup Detected,1.50376,3.911905405052213
2015-04-22 06:00:00-04:00,Bearish Setup Detected,1.50365,3.3740965443826134
2015-04-22 07:00:00-04:00,Bearish Setup Detected,1.50612,3.4682560436743137
2015-04-22 08:00:00-04:00,Bearish Setup Detected,1.50484,2.8196625594716345
2015-04-24 02:00:00-04:00,Bearish Setup Detected,1.5115,2.7591409546967745
2015-04-24 03:00:00-04:00,Bearish Setup Detected,1.51361,3.2299366582260514
2015-04-24 04:00:00-04:00,Bearish Setup Detected,1.51441,3.248619114353043
2015-04-24 08:00:00-04:00,Bearish Setup Detected,1.51543,2.7756246338603985
2015-04-24 10:00:00-04:00,Bearish Setup Detected,1.51631,2.6003751309415017
2015-04-24 11:00:00-04:00,Bearish Setup Detected,1.51742,2.5940784720240635
2015-04-28 10:00:00-04:00,Bearish Setup Detected,1.53244,2.5003470268184516
2015-04-29 11:00:00-04:00,Bearish Setup Detected,1.54817,2.640412794073202
2015-05-01 08:00:00-04:00,Bullish Setup Detected,1.52365,-2.559660438363576
2015-05-01 09:00:00-04:00,Bullish Setup Detected,1.51984,-2.8931760735640566
2015-05-01 10:00:00-04:00,Bullish Setup Detected,1.51766,-2.887844106129488
2015-05-01 11:00:00-04:00,Bullish Setup Detected,1.51361,-3.059572744032287
2015-05-01 12:00:00-04:00,Bullish Setup Detected,1.51154,-2.967714899621785
2015-05-05 10:00:00-04:00,Bearish Setup Detected,1.51934,2.598583194149219
2015-05-05 12:00:00-04:00,Bearish Setup Detected,1.52022,2.9676928508281244
2015-05-06 02:00:00-04:00,Bearish Setup Detected,1.52409,2.669177406999438
2015-05-07 17:00:00-04:00,Bearish Setup Detected,1.54164,4.962776452750403
2015-05-07 18:00:00-04:00,Bearish Setup Detected,1.53913,3.632297736877463
2015-05-07 19:00:00-04:00,Bearish Setup Detected,1.53956,3.2483202645265994
2015-05-07 20:00:00-04:00,Bearish Setup Detected,1.54009,2.990292986806218
2015-05-07 21:00:00-04:00,Bearish Setup Detected,1.54392,3.227163556462858
2015-05-07 22:00:00-04:00,Bearish Setup Detected,1.54946,3.520029849210289
2015-05-07 23:00:00-04:00,Bearish Setup Detected,1.54642,2.7792466977620855
2015-05-08 00:00:00-04:00,Bearish Setup Detected,1.55124,3.0187880415935378
2015-05-18 03:00:00-04:00,Bullish Setup Detected,1.56832,-2.5344415795622446
2015-05-18 04:00:00-04:00,Bullish Setup Detected,1.5665,-2.8502132426576847
2015-05-19 04:00:00-04:00,Bullish Setup Detected,1.55481,-3.109638389825345
2015-05-19 05:00:00-04:00,Bullish Setup Detected,1.5541,-2.9288417787926546
2015-05-19 06:00:00-04:00,Bullish Setup Detected,1.55193,-2.987464574519808
2015-05-19 07:00:00-04:00,Bullish Setup Detected,1.54965,-3.0093620277760103
2015-05-19 08:00:00-04:00,Bullish Setup Detected,1.54652,-3.091487019810405
2015-05-21 04:00:00-04:00,Bearish Setup Detected,1.56619,4.244502926173277
2015-05-21 05:00:00-04:00,Bearish Setup Detected,1.56628,3.74009601032438
2015-05-21 06:00:00-04:00,Bearish Setup Detected,1.56864,3.678381050243684
2015-05-21 07:00:00-04:00,Bearish Setup Detected,1.5682,3.1285188540594384
2015-05-26 09:00:00-04:00,Bullish Setup Detected,1.53711,-2.833959142038622
2015-05-28 06:00:00-04:00,Bullish Setup Detected,1.52919,-2.54361083821696
2015-05-28 07:00:00-04:00,Bullish Setup Detected,1.52766,-2.7498975184648766
2015-05-29 06:00:00-04:00,Bullish Setup Detected,1.52466,-2.6533104147899045
2015-06-01 04:00:00-04:00,Bullish Setup Detected,1.5229,-2.584777596878158
2015-06-01 05:00:00-04:00,Bullish Setup Detected,1.52226,-2.7419935296452325
2015-06-01 06:00:00-04:00,Bullish Setup Detected,1.52067,-3.0241805809518523
2015-06-01 11:00:00-04:00,Bullish Setup Detected,1.51861,-2.7738930958036625
2015-06-01 12:00:00-04:00,Bullish Setup Detected,1.51862,-2.526012955534619
2015-06-04 05:00:00-04:00,Bearish Setup Detected,1.5437,2.8140500391252385
2015-06-05 08:00:00-04:00,Bullish Setup Detected,1.52378,-2.945179333462328
2015-06-05 09:00:00-04:00,Bullish Setup Detected,1.52132,-3.2606375555864027
2015-06-10 09:00:00-04:00,Bearish Setup Detected,1.55322,2.7475426058228516
2015-06-10 10:00:00-04:00,Bearish Setup Detected,1.55396,2.63336697898878
2015-06-12 10:00:00-04:00,Bearish Setup Detected,1.55675,2.7676869605787173
2015-06-12 11:00:00-04:00,Bearish Setup Detected,1.5586,3.175331609702301
2015-06-15 14:00:00-04:00,Bearish Setup Detected,1.56059,2.5581028571676576
2015-06-17 04:00:00-04:00,Bearish Setup Detected,1.57232,2.569867235040274
2015-06-17 05:00:00-04:00,Bearish Setup Detected,1.57402,2.6896048484109034
2015-06-17 06:00:00-04:00,Bearish Setup Detected,1.57419,2.5311563044188516
2015-06-17 14:00:00-04:00,Bearish Setup Detected,1.58284,3.249897194987744
2015-06-17 15:00:00-04:00,Bearish Setup Detected,1.58357,3.009733282217058
2015-06-17 16:00:00-04:00,Bearish Setup Detected,1.58308,2.6537449329543614
2015-06-22 06:00:00-04:00,Bullish Setup Detected,1.58186,-3.1260074904847985
2015-06-22 07:00:00-04:00,Bullish Setup Detected,1.58206,-2.8066831874387224
2015-06-22 22:00:00-04:00,Bullish Setup Detected,1.57681,-2.780461601829414
2015-06-22 23:00:00-04:00,Bullish Setup Detected,1.5769,-2.5161129257327453
2015-07-01 04:00:00-04:00,Bullish Setup Detected,1.56638,-2.6115976159496848
2015-07-01 05:00:00-04:00,Bullish Setup Detected,1.566,-2.5839266314139446
2015-07-01 08:00:00-04:00,Bullish Setup Detected,1.56482,-2.5043550949641893
2015-07-01 09:00:00-04:00,Bullish Setup Detected,1.56266,-2.9636096733501387
2015-07-01 10:00:00-04:00,Bullish Setup Detected,1.56325,-2.521383316131876
2015-07-01 11:00:00-04:00,Bullish Setup Detected,1.56159,-2.747908116097065
2015-07-01 13:00:00-04:00,Bullish Setup Detected,1.55934,-2.8604207464378515
2015-07-03 11:00:00-04:00,Bullish Setup Detected,1.55725,-3.218109929145085
2015-07-03 16:00:00-04:00,Bullish Setup Detected,1.55658,-2.8457948644088877
2015-07-05 17:00:00-04:00,Bullish Setup Detected,1.55456,-3.5967719606129163
2015-07-05 19:00:00-04:00,Bullish Setup Detected,1.55501,-2.7604719712329366
2015-07-07 04:00:00-04:00,Bullish Setup Detected,1.55071,-2.719239805171224
2015-07-07 05:00:00-04:00,Bullish Setup Detected,1.55012,-2.6566772223580526
2015-07-07 06:00:00-04:00,Bullish Setup Detected,1.54599,-3.4730054348869386
2015-07-07 07:00:00-04:00,Bullish Setup Detected,1.54421,-3.4656920120409214
2015-07-07 08:00:00-04:00,Bullish Setup Detected,1.54323,-3.272240693415912
2015-07-07 09:00:00-04:00,Bullish Setup Detected,1.54395,-2.8097365907280207
2015-07-07 10:00:00-04:00,Bullish Setup Detected,1.54185,-2.929719095399775
2015-07-10 03:00:00-04:00,Bearish Setup Detected,1.54466,2.904072043331818
2015-07-10 04:00:00-04:00,Bearish Setup Detected,1.54555,3.0766970106591134
